,Medicine Name,Use,Side Effects,Dosage
10,ReoPro,"ReoPro (abciximab) is a blood thinner used to prevent blood clots during procedures used to open up the blood vessels in the heart (e.g., balloon angioplasty, coronary stent placement, percutaneous coronary intervention-PCI). ReoPro is usually used with heparin and aspirin.","['nausea, ', 'vomiting, ', 'injection site reactions (bleeding, irritation, or pain), ', 'back pain, ', 'changes in vision, ', 'heartburn, ']","The recommended dosage of Abciximab in adults is a 0.25 mg/kg intravenous bolus administered 10-60 minutes before the start of PCI, followed by a continuous intravenous infusion of 0.125 µg/kg/min (to a maximum of 10 µg/min) for 12 hours."
11,Abecma,"Abecma (idecabtagene vicleucel) is a B-cell maturation antigen (BCMA)-directed genetically modified autologous T cell immunotherapy used to treat adult patients with relapsed or refractory multiple myeloma after four or more prior lines of therapy, including an immunomodulatory agent, a proteasome inhibitor, and an anti-CD38 monoclonal antibody.","['cytokine release syndrome (CRS),', 'infections,', 'fatigue,', 'musculoskeletal pain,', 'hypogammaglobulinemia,', 'diarrhea,']",Dosing of Abecma is based on the number of chimeric antigen receptor (CAR)-positive T cells. The recommended dose range of Abecma is 300 to 460×106 CAR-positive T cells.
12,Abelcet,Abelcet (amphotericin B lipid complex) Injection is an antifungal antibiotic used to treat a variety of serious fungal infections. Abelcet is available in generic form.,"['chills,', 'fever,', 'shaking,', 'flushing,', 'loss of appetite,', 'dizziness,']",The recommended dosage of Abelcet is 5 mg/kg.
13,Verzenio,"Verzenio (abemaciclib) is a kinase inhibitor indicated in combination with fulvestrant for the treatment of women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer with disease progression following endocrine therapy; and as monotherapy for the treatment of adult patients with HR-positive, HER2-negative advanced or metastatic breast cancer with disease progression following endocrine therapy and prior chemotherapy in the metastatic setting.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'severe or ongoing diarrhea,', 'pain or burning when you urinate,', 'right-sided upper stomach pain,']",The recommended starting dose of Verzenio in combination with fulvestrant is 150 mg twice daily. The recommended starting dose of Verzenio as monotherapy is 200 mg twice daily.
14,Abilify,Abilify (aripiprazole) is a psychotropic drug (antipsychotic) that alters brain chemical activity used to treat:,"['schizophrenia,', 'mania,', 'depression,', 'bipolar disorders,', 'autistic disorder, and', 'some irritable behavior disorders.']","Abilify is available in tablet, orally disintegrating tablets, oral solution and injectable formulations. Dosage is variable and depends on multiple factors such as the ongoing mental problem, patient age, and other factors to be determined by the prescribing doctor."
15,Abilify Asimtufii,Abilify Asimtufii (aripiprazole) is an atypical antipsychotic indicated for the treatment of schizophrenia in adults and as maintenance monotherapy treatment of bipolar I disorder in adults.,"['weight gain,', 'restlessness/inability to sit still,', 'injection site pain,', 'sedation,', 'constipation,', 'dry mouth,']",The recommended dosage of Abilify Asimtufii is 960 mg administered once every 2 months as a single injection. The dose can be reduced to 720 mg in patients with adverse reactions.
16,Abilify Maintena,Abilify Maintena (aripiprazole) is an antipsychotic drug used for the treatment of schizophrenia.,"['dizziness, ', 'lightheadedness, ', 'drowsiness, ', 'tiredness, ', 'blurred vision, ', 'weight gain, ']",Ability Maintena is administered under doctor's supervision via intramuscular injection.  The recommended dose is 400 mg given monthly as a single injection.
17,Abilify MyCite,"Abilify MyCite (aripiprazole tablets with sensor) a drug-device combination product comprised of aripiprazole tablets embedded with an Ingestible Event Marker (IEM) sensor intended to track drug ingestion, is indicated for the treatment of adults with schizophrenia; treatment of bipolar I disorder: acute treatment of adults with manic and mixed episodes as monotherapy and as adjunct to lithium or valproate and maintenance treatment of adults as monotherapy and as adjunct to lithium or valproate; and as adjunctive treatment of adults with major depressive disorder (MDD).","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'fainting,', 'mental or mood changes,', 'anxiety,']",The recommended dose of Abilify MyCite depends on the condition being treated and ranges from 5 to 15 mg/day.
18,Zytiga,"Zytiga (abiraterone acetate) is is an inhibitor of CYP17 (17a-hydroxylase/C17,20-lyase) given in combination with prednisone and indicated for the treatment of patients with metastatic castration-resistant prostate cancer.","['joint swelling or pain', 'diarrhea', 'cough', 'sweating', 'hot flashes', 'weakness']",Zytiga is prescribed in 250 mg dosage tablets. It is important that Zytiga be taken on an empty stomach. No food should be consumed for at least two hours before the dose of Zytiga is taken and for at least one hour after the dose of Zytiga is taken.
19,Yonsa,Yonsa (abiraterone acetate) is a CYP17 inhibitor indicated in combination with methylprednisolone for the treatment of patients with metastatic castration-resistant prostate cancer (CRPC).,"['fatigue,', 'joint swelling or discomfort, ', 'edema, ', 'hot flush, ', 'diarrhea, ', 'vomiting, ']",The recommended dose of Yonsa is 500 mg (four 125 mg tablets) administered orally once daily in combination with methylprednisolone 4 mg administered orally twice daily.
20,Ablavar,"Ablavar (gadofosveset trisodium) Injection is a contrast agent used in combination with magnetic resonance angiography (MRA) to allow blood vessels, organs, and other non-bony tissues to be seen more clearly on the MRA. Ablavar is used to help diagnose certain disorders of the heart and blood vessels.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'urinating less than usual or not at all,', 'drowsiness,', 'confusion,']","Ablavar is given as an intravenous bolus injection, manually or by power injection, at a dose of 0.12 mL/kg body weight (0.03 mmol/kg) over a period of time up to 30 seconds followed by a 25-30 mL normal saline flush."
21,Ablysinol,Ablysinol (dehydrated alcohol) is an ablative agent used to induce controlled cardiac septal infarction to improve exercise capacity in adults with symptomatic hypertrophic obstructive cardiomyopathy who are not candidates for surgical myectomy. ,"['arrhythmias, including ventricular tachycardia and/or ventricular fibrillation']","In most situations, a dose of 1 mL to 2 mL Ablysinol is sufficient. The maximum dose of Ablysinol that should be used in a single procedure is 5 mL. "
22,Dysport,"Dysport for Injection (abobotulinumtoxinA), also called botulinum toxin type A, is made from the bacteria that causes botulism and is used to treat cervical dystonia (severe spasms in the neck muscles). Dysport is also used to temporarily lessen the appearance of facial wrinkles.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'trouble breathing, talking or swallowing,', 'hoarse voice,', 'drooping eyelids,']",The recommended initial dose of Dysport for the treatment of cervical dystonia is 500 Units given intramuscularly as a divided dose among affected muscles. The dose of Dysport for the treatment of glabellar lines (the vertical lines between the eyebrows) is 50 Units given intramuscularly in five equal aliquots of 10 Units each to achieve clinical effect.
23,Abraxane,Abraxane (paclitaxel protein-bound particles for Injectable suspension) is a cancer (antineoplastic) medication used in the treatment of breast cancer.,"['nausea, ', 'vomiting, ', 'indigestion, ', 'diarrhea, ', 'mouth sores, ', 'headache, ']","The recommended dose and regimen for Abraxane is 260 mg/m2 administered intravenously over 30 minutes every 3 weeks. Do not receive ""live"" vaccines during treatment with Abraxane."
24,Abreva,"Abreva (docosanol cream) is a cold sore/fever blister treatment used to treat cold sores/fever blisters on the face or lips. It shortens healing time and duration of symptoms such as tingling, pain, burning, and/or itching. Abreva is available as a generic and over-the-counter (OTC). Side effects of Abreva are uncommon and may include:","['skin itching,', 'rash, and', 'redness where the medicine is applied']",
25,Abrilada,"Abrilada (adalimumab-afzb) is a tumor necrosis factor (TNF) blocker used to treat rheumatoid arthritis, juvenile idiopathic arthritis, psoriatic arthritis, ankylosing spondylitis, adult Crohn's disease, ulcerative colitis and plaque psoriasis. Abrilada is biosimilar to Humira (adalimumab).","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'fever,', 'swollen glands,', 'night sweats,']","The dose of Abrilada to treat rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis is 40 mg every other week. The dose of Abrilada to treat juvenile idiopathic arthritis in children is based on the child's body weight. The initial dose (Day 1) of Abrilada to treat adult Crohn's disease and ulcerative is 160 mg (four 40 mg injections in one day or two 40 mg injections per day for two consecutive days). The second dose two weeks later (Day 15) is 80 mg. Two weeks later (Day 29), begin a maintenance dose of 40 mg every other week. The dose of Abrilada to treat plaque psoriasis is 80 mg initial dose, followed by 40 mg every other week starting one week after the initial dose. "
26,Cibinqo,"Cibinqo (abrocitinib) is a Janus kinase (JAK) inhibitor used to treat adults with refractory, moderate-to-severe atopic dermatitis whose disease is not adequately controlled with other systemic drug products, including biologics, or when use of those therapies is inadvisable.","['hives,\xa0', 'difficulty breathing,\xa0', 'swelling of your face, lips, tongue, or throat,\xa0', 'fever,\xa0', 'sweating,\xa0', 'chills,\xa0']",The recommended dosage of Cibinqo is 100 mg orally once daily.
27,Abrysvo,Abrysvo (respiratory syncytial virus vaccine) is a vaccine indicated for active immunization for the prevention of lower respiratory tract disease (LRTD) caused by respiratory syncytial virus (RSV) in individuals 60 years of age and older.,"['fatigue,', 'headache,', 'pain at the injection site, and', 'muscle pain.', 'Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights;', 'Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out;']",Abrysvo is administered as a single approximately 0.5 mL dose.
28,Gelfoam Compressed Sponge,"Gelfoam Compressed Sponge (absorbable gelatin compressed sponge) is a medical device intended for application to bleeding surfaces is indicated in surgical procedures as a hemostatic device, when control of capillary, venous, and arteriolar bleeding by pressure, ligature, and other conventional procedures is either ineffective or impractical. Although not necessary, Gelfoam Compressed Sponge can be used either with or without thrombin to obtain hemostasis.","['fever', 'infection', 'abscess formation', 'foreign body reactions', '“encapsulation” of fluid', 'blood clots']",The minimum amount of Gelfoam Compressed Sponge of appropriate size and shape should be applied dry or wet to the bleeding site and held firmly in place until hemostasis is observed.
29,Gelfoam Dental Sponge,,"['infection and', 'abscess formation.']",
30,Gelfoam,"Gelfoam (absorbable gelatin powder from absorbable gelatin sponge) is a medical device indicated in surgical procedures, including those involving cancellous bone bleeding, as a hemostatic device, when control of capillary, venous, and arteriolar bleeding by pressure, ligature, and other conventional procedures is either ineffective or impractical.","['fever,', 'infection,', 'abscess formation,', 'foreign body reactions,', '“encapsulation” of fluid, and', 'blood clots.']","The minimum amount of Gelfoam should be applied to the bleeding site with pressure until hemostasis is observed. The Gelfoam may be left in place at the bleeding site, when necessary."
31,Gelfoam Sponge,,"['fever,', 'infection,', 'abscess formation,', 'foreign body reactions,', '“encapsulation” of fluid, and', 'blood clots.']",
32,Gelfilm,"Gelfilm (absorbable gelatin film) and Gelfilm Sterile Ophthalmic Film are absorbable gelatin film approximately 0.075 mm in thickness, designed for use as an absorbable gelatin implant in neurosurgery and thoracic and ocular surgery.",[],"To prepare for use, Gelfilm is immersed in sterile saline solution and allowed to soak until it becomes quite pliable; it may then be cut to desired size and shape without difficulty and applied."
33,Absorica,"Absorica (isotretinoin) is a retinoid, a form of vitamin A, used to treat a severe form of acne called nodular acne in patients 12 years of age and older who have not been helped by other acne treatments, including antibiotics.","['mental health problems (such as depression, psychosis, or thoughts of suicide),', 'fatigue, ', 'skin reactions such as infections or rash, ', 'dry skin, ', 'bone or joint pain, ', 'eye inflammation (dry eyes, burning, redness, itching), ']",Absorica is taken orally. The recommended dosage of 0.5 to 1 mg/kg/day is given in two divided doses for 15 to 20 weeks. Absorica is not substitutable with other forms of isotretinoin.
34,Absorica LD,"Absorica LD (isotretinoin capsule) is indicated for the treatment of severe recalcitrant nodular acne in non-pregnant patients 12 years of age and older with multiple inflammatory nodules with a diameter of 5 mm or greater. Because of significant adverse reactions associated with its use, Absorica LD is reserved for patients with severe nodular acne who are unresponsive to conventional therapy, including systemic antibiotics.","['fatigue,', 'irritability,', 'pain,', 'allergic reactions,', 'systemic hypersensitivity,', 'fluid retention,']",The dose of Absorica LD is 0.4 to 0.8 mg/kg/day given in two divided doses with or without meals for 15 to 20 weeks.
35,Abstral,Abstral (fentanyl) sublingual is a narcotic analgesic (pain reliever) used to treat severe pain in cancer patients who are already receiving and who are tolerant to opioid therapy for their underlying persistent cancer pain.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'slow breathing with long pauses,', 'blue colored lips,', 'slow heart rate,']",The recommended dosage of Abstral tablets for adults is 1 tablet (100 mcg) sublingually (placed under the tongue) for each pain episode. Your doctor may adjust your dose as needed. Abstral adds to the effects of alcohol and other CNS depressants.
36,Calquence,Calquence (acalabrutinib) is a kinase inhibitor indicated for the treatment of adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'unusual bleeding (nose, mouth, vagina, or rectum),', 'any bleeding that will not stop,', 'dizziness,']",The recommended dose of Calquence is 100 mg orally approximately every twelve hours; swallow whole with water and with or without food.
37,ACAM2000,"ACAM2000 (smallpox vaccine, live) is an immunization used against smallpox disease for persons determined to be at high risk for smallpox infection.","['injection site reactions (itching, redness, pain, swelling)', 'enlarged lymph nodes', 'feeling of being unwell (malaise) ', 'fatigue', 'fever', 'muscle pain']",ACAM2000 must be administered only by vaccine providers with training to safely and effectively administer the vaccine.
38,Campral,Campral (acamprosate calcium) works by restoring the natural balance of chemicals in the brain (neurotransmitters) and is used to help alcohol-dependent patients keep from drinking alcohol. Campral should be used as part of a complete treatment program that includes both counseling and psychological support. Campral is unlikely to be helpful to a person who has not already quit drinking or undergone detoxification. Campral may not be helpful to a person who is also addicted to other substances besides alcohol.,"['diarrhea, ', 'nausea, ', 'vomiting, ', 'gas, ', 'stomach pain, ', 'loss of appetite, ']",The recommended dose of Campral is two 333 mg tablets (each dose should total 666 mg) taken three times daily.
39,Acanya,Acanya (clindamycin phosphate 1.2% and benzoyl peroxide 2.5%) for topical use is a combination of an antibiotic and an antibacterial and keratolytic agent used to treat acne.,"['skin irritation such as burning or stinging, ', 'itching or tingly feeling, ', 'dryness or peeling of treated skin, or ', 'redness or other irritation. ', 'severe redness, burning, stinging, or peeling of treated skin areas; or \n\t', 'diarrhea that is watery or bloody.']",The recommended dosage of Acanya is a pea sized amount applied to your face once a day.
40,Precose,Precose (acarbose tablets) is an oral alpha-glucosidase inhibitor used to treat type 2 diabetes. Precose is sometimes used in combination with insulin or other diabetes medications you take by mouth. Precose is available in generic form.,"['diarrhea, ', 'gas, ', 'bloating, ', 'upset stomach, or ', 'stomach pain in the first few weeks of treatment as your body adjusts to this medication but usually improve with time. \n\t', 'unusual tiredness, ']",There is no fixed dosage regimen for the management of diabetes mellitus with Precose. Dosage is individualized on the basis of effectiveness and tolerance. The maximum dose should not exceed 100 mg three times per day. 
41,Accolate,Accolate (zafirlukast) is a leukotriene inhibitor used to treat and prevent asthma attacks in adults and children as young as 5 years old. Do not give Accolate to a child without a doctor's advice. Accolate is available in generic form.,"['hives,', 'blisters,', 'severe itching,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'depressed mood,']",The recommended dose of Accolate in adults and children 12 years and older is 20 mg twice daily. The recommended dose in children 5 through 11 years of age is 10 mg twice daily.
42,Accretropin,"Accretropin (recombinant human growth hormone (r-hGH); somatropin) is a protein used to treat pediatric patients who have growth failure due to an inadequate secretion of normal endogenous growth hormone, and to treat short stature associated with Turner Syndrome in pediatric patients whose epiphyses are not closed. The brand name Accretropin is discontinued, but generic versions may be available.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'sudden and severe pain or tenderness in your upper stomach,', 'nausea,', 'vomiting,']",The dose regimen for Accretropin is individualized for each patient and depends on the condition being treated.
43,Accrufer,Accrufer (ferric maltol) is an iron replacement product indicated for the treatment of iron deficiency in adults.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'chronic fatigue,', 'joint pain,', 'abdominal pain,']",The dose of Accrufer is 30 mg twice daily on an empty stomach.
44,AccuNeb,,"['headache (including migraine), ', 'dizziness, ', 'nervousness, ', 'sleep problems (insomnia), ', 'cough, ', 'hoarseness, ']",
45,Accupril,Accupril (quinapril) is an angiotensin converting enzyme (ACE) inhibitor used for treating high blood pressure and heart failure. Generic formulations of Accupril are available.,"['cough, ', 'dizziness, ', 'lightheadedness, ', 'tiredness, ', 'fatigue, ', 'nausea, ']",The recommended dose for treating hypertension is 10-80 mg a day as a single dose or in two doses. The dose for heart failure is 20-40 mg a day in two divided doses.
46,Accuretic,Accuretic (quinapril HCl/hydrochlorothiazide) is a combination of two drugs used to treat hypertension (high blood pressure). Accuretic is not indicated for the initial treatment of hypertension. Accuretic is available as a generic termed Quinaretic.,"['cough, ', 'dizziness, ', 'headache, ', 'tired feeling, ', 'muscle or back pain, ', 'runny nose, ']",The dose of Accuretic ranges from quinapril doses of 2.5 to 40 mg and hydrochlorothiazide doses of 6.25 to 25 mg.
47,Accutane,"Accutane (isotretinoin) is a retinoid used for the treatment and prevention of severe acne. The brand name Accutane is discontinued in the U.S., but generic formulations are available.","['dry skin,', 'itching, ', 'rash, ', 'dry nose, ', 'nosebleeds, ', 'cracks in the corners of the mouth, ']",The recommended dose of Accutane is 0.5 to 2 mg per kg of body weight daily.
48,Accuzyme,"Accuzyme (papain and urea) enzymatic debriding ointment is used to break down dead skin or tissues in wounds such as bed sores, ulcers, burns, surgical wounds, cysts, and carbuncles. Accuzyme may be available in generic form.",[],"Apply a dose of Accuzyme directly to the wound, cover with appropriate dressing, secure into place. Daily or twice daily applications are preferred."
49,Sectral,Sectral (acebutolol hydrochloride) is a beta-blocker used to treat hypertension (high blood pressure) and heart rhythm disorders. Sectral is available in generic form.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'shortness of breath,', 'rapid weight gain,', 'swelling,']",The initial dosage of Sectral in uncomplicated mild-to-moderate hypertension is 400 mg. The usual initial dose of Sectral to treat ventricular arrhythmia is 400 mg daily given as 200 mg twice daily. 
50,Clanza CR,"Clanza CR (aceclofenac tablet, film coated) is a nonsteroidal anti-inflammatory drug (NSAID) indicated for rheumatoid arthritis, ankylosing spondylitis, osteoarthritis and periarthritis of scapulohumerous, lumbago, ischiadynia, and pain caused by nonaticular rheumatism.","['gastrointestinal disorders (indigestion/heartburn, abdominal pain, nausea),', 'rash,', 'redness,', 'hives,', 'symptoms of bedwetting,', 'headache,']","The recommended adult dose of Clanza CR is 200 mg daily, taken as one dose (every 24 hours)."
51,Aceon,"Aceon (perindopril erbumine) is an angiotensin converting enzyme (ACE) inhibitor indicated for the treatment of patients with stable coronary artery disease to reduce the risk of cardiovascular mortality or heart attack (myocardial infarction). Aceon may be used alone or given with other classes of antihypertensives, especially thiazide diuretics. Aceon is available in generic form.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'weakness,', 'slow or irregular heartbeat,', 'fainting,']",Aceon is taken orally in tablet form. The usual recommended initial daily dosage of Aceon is 4 mg daily.
52,Acephen,"Acephen (acetaminophen suppository) is a pain reliever/fever reducer used to temporarily reduce fever and to relieve minor aches, pains, and headache.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'skin redness,', 'rash that spreads and causes blistering and peeling,', 'nausea,']",The dose of Acephen in adults and children 12 years and older is 1 suppository every 4 to 6 hours while symptoms persist. Do not exceed 6 doses of Acephen in any 24-hour period.
53,Acetadote,Acetadote (acetylcysteine) Injection is an amino acid used to prevent or lessen hepatic injury due to acetaminophen overdose. Acetadote is available in generic form.,"['rash,', 'hives, \n', 'facial flushing (warmth, redness, or tingly feeling), itching, respiratory symptoms (cough, wheezing, noisy breathing, shortness of breath, chest tightness, or bronchospasm), \n', 'swelling, or low blood pressure (hypotension)\n']",The recommended dose of Acetadote is 300 mg/kg administered over 21 hours.
54,Tylenol,Tylenol (acetaminophen) is an analgesic (pain reliever) and antipyretic (fever reducer) used for treating pain and fever associated with many conditions. Tylenol is available in generic form and over-the-counter (OTC).,"['nausea, ', 'stomach pain, ', 'loss of appetite, ', 'itching, ', 'rash, ', 'headache, ']",The oral dose of Tylenol for adults is 325 to 650 mg every 4 to 6 hours. The maximum daily dose is 4 grams.
55,Tylenol-Codeine,Tylenol with Codeine (acetaminophen and codeine phosphate) is a combination of a narcotic pain reliever and a non-salicylate analgesic (pain reliever) and antipyretic (fever reducer) used to relieve moderate to severe pain. Tylenol with Codeine is available in generic form.,"['noisy breathing', 'sighing', 'shallow breathing', 'feeling lightheaded', 'confusion', 'serious drowsiness']","The usual adult dosage of Tylenol with Codeine is 15 mg to 60 mg codeine, and 300 mg to 1000 mg acetaminophen. Doses may be repeated up to every 4 hours."
56,Combogesic,"March 9, 2023",[],
57,Ofirmev, Ofirmev (acetaminophen) injection is a non-salicylate antipyretic (anti-fever) and non-opioid analgesic (pain reliever) used to manage pain and to reduce fever.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'severe redness,', 'rash that spreads and causes blistering and peeling,', 'chest pain,']","Ofirmev is available as an injection and may be given as a single or repeated dose, based on the weight of the patient. Ofirmev should only be given in 15-minute intravenous infusions. Ofirmev may interact with warfarin sodium."
58,Acephen,"Acephen (acetaminophen suppository) is a pain reliever/fever reducer used to temporarily reduce fever and to relieve minor aches, pains, and headache.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'skin redness,', 'rash that spreads and causes blistering and peeling,', 'nausea,']",The dose of Acephen in adults and children 12 years and older is 1 suppository every 4 to 6 hours while symptoms persist. Do not exceed 6 doses of Acephen in any 24-hour period.
59,Trezix,"Trezix (acetaminophen, caffeine, dihydrocodeine bitartrate capsule) contains a non-opiate analgesic and antipyretic, a CNS and cardiovascular stimulant and an analgesic adjuvant, and a narcotic analgesic related to codeine indicated for the relief of moderate to moderately severe pain.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'interrupted breathing during sleep (sleep apnea),', 'mood changes,', 'irritability,']","The usual adult dosage is two (2) Trezix capsules orally every four (4) hours, as needed. No more than two (2) Trezix capsules should be taken in a 4-hour period. No more than five (5) Trezix doses, or ten (10) capsules should be taken in a 24-hour period."
60,Midrin,"Midrin (isometheptene mucate, dichloralphenazone and acetaminophen) is a combination of a pain reliever and fever reducer, a sedative, and a vasoconstrictor used to treat migraine headaches or severe tension headaches. The brand name Midrin is no longer manufactured, but generic versions may be available.","['rash,', 'itching,', 'swelling of the face, tongue, or throat,', 'severe dizziness, and', 'trouble breathing', 'dizziness, ']","The usual adult dosage of Midrin is two capsules at once, followed by one capsule every hour until relieved, up to 5 capsules within a 12-hour period."
61,Acetazolamide Injection," Acetazolamide for Injection is an inhibitor of the enzyme carbonic anhydrase used to treat edema due to congestive heart failure; drug-induced edema; centrencephalic epilepsies (petit mal, unlocalized seizures); chronic simple (open-angle) glaucoma, secondary glaucoma, and preoperatively in acute angle-closure glaucoma where delay of surgery is desired in order to lower intraocular pressure. Acetazolamide for injection is available in generic form.","['""tingling"" feeling in the extremities,', 'hearing problems or ringing in the ears (tinnitus),', 'loss of appetite,', 'changes in taste,', 'nausea,', 'vomiting,']",The dose of acetazolamide depends on the condition being treated.
